K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.151746 0.000000 0.000000] stx = 12.689866, sta = 12.556331, osx = 7.344309, osa = 27.499508, intsqrx = 83.704113, intsqra = 1169.825599 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.026883 0.000000 0.000000] stx = 12.691345, sta = 12.557392, osx = 7.413234, osa = 27.738777, intsqrx = 83.707610, intsqra = 1170.146051 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.091694 0.000000 0.000000] stx = 12.694612, sta = 12.563493, osx = 7.481779, osa = 27.669703, intsqrx = 83.696778, intsqra = 1169.748885 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.026883 0.000000 0.000000] stx = 12.691345, sta = 12.557392, osx = 7.413234, osa = 27.738777, intsqrx = 83.707610, intsqra = 1170.146051 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.091694 0.000000 0.000000] stx = 12.694612, sta = 12.563493, osx = 7.481779, osa = 27.669703, intsqrx = 83.696778, intsqra = 1169.748885 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.043109 0.000000 0.000000] stx = 29.986190, sta = 29.986503, osx = 10602.770812, osa = 453.310591, intsqrx = 0.203535, intsqra = 0.044991 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.015938 0.000000 0.000000] stx = 29.986338, sta = 29.987040, osx = 10491.256047, osa = 1399.653067, intsqrx = 0.203278, intsqra = 0.041595 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.065384 0.000000 0.000000] stx = 29.986719, sta = 29.988864, osx = 10205.181954, osa = 381.489482, intsqrx = 0.202579, intsqra = 0.032095 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.021680 0.000000 0.000000] stx = 29.986505, sta = 29.987824, osx = 10362.557603, osa = 1133.844028, intsqrx = 0.202956, intsqra = 0.037047 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.017131 0.000000 0.000000] stx = 29.986315, sta = 29.987000, osx = 10508.395593, osa = 1277.626828, intsqrx = 0.203294, intsqra = 0.041743 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.178920 0.000000 0.000000] stx = 29.985561, sta = 29.984583, osx = 11073.331294, osa = 122.322084, intsqrx = 0.204892, intsqra = 0.063044 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.138472 0.000000 0.000000] stx = 29.985745, sta = 29.985043, osx = 10936.105600, osa = 151.399105, intsqrx = 0.204460, intsqra = 0.057502 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.066881 0.000000 0.000000] stx = 29.984026, sta = 29.987894, osx = 5534.376107, osa = 301.924038, intsqrx = 0.202566, intsqra = 0.035880 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.071974 0.000000 0.000000] stx = 29.978892, sta = 29.983695, osx = 4159.664598, osa = 662.286464, intsqrx = 0.203883, intsqra = 0.064307 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.039412 0.000000 0.000000] stx = 29.978465, sta = 29.994813, osx = 2463.347390, osa = 200.765773, intsqrx = 0.203548, intsqra = 0.245558 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.041573 0.000000 0.000000] stx = 29.978466, sta = 29.994483, osx = 2537.418020, osa = 512.736235, intsqrx = 0.204310, intsqra = 0.256502 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.010355 0.000000 0.000000] stx = 29.978466, sta = 29.994694, osx = 2490.344246, osa = 265.019256, intsqrx = 0.203789, intsqra = 0.249300 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.017726 0.000000 0.000000] stx = 29.978464, sta = 29.994724, osx = 2483.606018, osa = 246.027713, intsqrx = 0.203744, intsqra = 0.248349 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.078691 0.000000 0.000000] stx = 29.978463, sta = 29.994975, osx = 2426.849304, osa = 144.455059, intsqrx = 0.203190, intsqra = 0.240799 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.031749 0.000000 0.000000] stx = 29.986554, sta = 29.988049, osx = 10324.895321, osa = 797.050844, intsqrx = 0.202845, intsqra = 0.035853 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.005536 0.000000 0.000000] stx = 12.467440, sta = 13.070444, osx = 14478780.058724, osa = 2783.655790, intsqrx = 0.202528, intsqra = 0.037160 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.031160 0.000000 0.000000] stx = 12.464241, sta = 13.059516, osx = 12853175.919846, osa = 516.224850, intsqrx = 0.202773, intsqra = 0.040309 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.088969 0.000000 0.000000] stx = 12.473634, sta = 13.116494, osx = 35847930.446839, osa = 279.699528, intsqrx = 0.201770, intsqra = 0.026648 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.064336 0.000000 0.000000] stx = 12.464364, sta = 13.051509, osx = 15852333.261221, osa = 263.961218, intsqrx = 0.203054, intsqra = 0.044473 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.016302 0.000000 0.000000] stx = 12.466715, sta = 13.078269, osx = 12721474.416872, osa = 1774.231585, intsqrx = 0.202371, intsqra = 0.034599 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.012016 0.000000 0.000000] stx = 12.466117, sta = 13.068779, osx = 17599635.389511, osa = 1295.870070, intsqrx = 0.202592, intsqra = 0.037958 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.061339 0.000000 0.000000] stx = 12.462256, sta = 13.049706, osx = 17334025.044582, osa = 275.537009, intsqrx = 0.203042, intsqra = 0.044101 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.038587 0.000000 0.000000] stx = 12.471988, sta = 13.091813, osx = 265698.931912, osa = 720.523426, intsqrx = 0.201957, intsqra = 0.032033 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.072402 0.000000 0.000000] stx = 29.986754, sta = 29.989043, osx = 10180.710990, osa = 340.803992, intsqrx = 0.202508, intsqra = 0.031329 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.010763 0.000000 0.000000] stx = 29.986441, sta = 29.987579, osx = 9996.933589, osa = 2027.931734, intsqrx = 0.202819, intsqra = 0.038347 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.096023 0.000000 0.000000] stx = 29.986839, sta = 29.989675, osx = 16003.178442, osa = 245.367951, intsqrx = 0.203688, intsqra = 0.028884 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.041925 0.000000 0.000000] stx = 29.986102, sta = 29.986532, osx = 513268.886253, osa = 466.044864, intsqrx = 0.207370, intsqra = 0.044782 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.021499 0.000000 0.000000] stx = 29.986292, sta = 29.986912, osx = 10531.043033, osa = 970.668855, intsqrx = 0.203324, intsqra = 0.042273 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.060828 0.000000 0.000000] stx = 29.986510, sta = 29.988770, osx = 8494.265686, osa = 411.800202, intsqrx = 0.209890, intsqra = 0.032508 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.032144 0.000000 0.000000] stx = 29.986743, sta = 29.988044, osx = 3408.943765, osa = 788.432258, intsqrx = 0.195503, intsqra = 0.035860 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.040746 0.000000 0.000000] stx = 29.986120, sta = 29.988175, osx = 306.544571, osa = 628.917063, intsqrx = 0.142120, intsqra = 0.035106 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.069140 0.000000 0.000000] stx = 29.986515, sta = 29.986009, osx = 1821.873178, osa = 284.953366, intsqrx = 0.186860, intsqra = 0.048483 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.068269 0.000000 0.000000] stx = 29.987517, sta = 29.988878, osx = 1139.370268, osa = 365.689212, intsqrx = 0.178081, intsqra = 0.031965 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.072459 0.000000 0.000000] stx = 29.986685, sta = 29.985944, osx = 1387.293599, osa = 272.644337, intsqrx = 0.181706, intsqra = 0.048995 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.128215 0.000000 0.000000] stx = 29.986255, sta = 29.985133, osx = 1795.509855, osa = 162.249971, intsqrx = 0.186680, intsqra = 0.056298 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.049853 0.000000 0.000000] stx = 2.368827, sta = 3.581278, osx = 9.254243, osa = 235.773940, intsqrx = 0.001036, intsqra = 0.004286 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.048768 0.000000 0.000000] stx = 2.380508, sta = 3.611453, osx = 14.474131, osa = 186.827892, intsqrx = 0.001425, intsqra = 0.009280 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.011932 0.000000 0.000000] stx = 2.225429, sta = 3.355762, osx = 11.684491, osa = 1111.624348, intsqrx = 0.001146, intsqra = 0.005474 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.005487 0.000000 0.000000] stx = 2.132057, sta = 2.671911, osx = 12.359139, osa = 1439.159206, intsqrx = 0.001208, intsqra = 0.005767 
